FType,HFactor,FFactor,BFactor,EFactor
1,1.538,0.962,2.937,1.469
2,0.99,1.33,1.19,0.962
3,0.958,0.824,0.909,0.978
5,1.583,1.204,0.971,2.429
13,1.104,1.199,0.956,0.964
60,0.979,0.948,0.996,1.067
31,0.96,1.001,0.958,0.927
