FType,HFactor,FFactor,BFactor,EFactor
1,1.259,0.822,1.04,2.631
2,1.513,0.887,0.992,1.067
3,1.214,1.307,0.976,1.206
4,1.151,1.015,0.979,1.045
5,0.871,1.527,1.02,1.81
13,0.993,1.003,0.964,1.041
60,1.141,1.018,0.905,1.672
31,0.991,0.926,1.012,1.17
