ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,11,1,0,0.917,0.083,0.000
1,2,9,3,0,0.750,0.250,0.000
1,3,4,8,0,0.333,0.667,0.000
1,4,2,10,0,0.167,0.833,0.000
1,5,0,12,0,0.000,1.000,0.000
1,6,0,9,0,0.000,1.000,0.000
