FType,HFactor,FFactor,BFactor,EFactor
1,1.132,1.251,0.947,1.238
2,1.248,1.398,0.966,1.439
5,1.201,1.185,1.023,1.196
13,0.109,0.839,1.013,0.711
60,1.011,0.985,1.029,1.029
31,0.748,0.814,1.007,0.679
