,ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
count,1.000,1.000,1.000,1.000,1.000,1.000,1.000
mean,1.000,1260.000,300.000,40.000,0.787,0.188,0.025
std,,,,,,,
min,1.000,1260.000,300.000,40.000,0.787,0.188,0.025
25%,1.000,1260.000,300.000,40.000,0.787,0.188,0.025
50%,1.000,1260.000,300.000,40.000,0.787,0.188,0.025
75%,1.000,1260.000,300.000,40.000,0.787,0.188,0.025
max,1.000,1260.000,300.000,40.000,0.787,0.188,0.025
