,ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
count,5.000,5.000,5.000,5.000,5.000,5.000,5.000
mean,3.000,348120.800,283.200,0.000,0.999,0.001,0.000
std,1.581,632.696,632.696,0.000,0.002,0.002,0.000
min,1.000,346989.000,0.000,0.000,0.996,0.000,0.000
25%,2.000,348403.000,0.000,0.000,1.000,0.000,0.000
50%,3.000,348404.000,0.000,0.000,1.000,0.000,0.000
75%,4.000,348404.000,1.000,0.000,1.000,0.000,0.000
max,5.000,348404.000,1415.000,0.000,1.000,0.004,0.000
