Hour,AVGNonBurned,AVGBurned,AVGHarvested,STDBurned,STDHarvested,MaxNonBurned,MaxBurned,MinNonBurned,MinBurned,%AVGNonBurned,%AVGBurned,%AVGHarvested
1,348403.600,0.400,0.000,0.548,0.000,348404,1,348403,0,1.000,0.000,0.000
2,348402.200,1.800,0.000,3.493,0.000,348404,8,348396,0,1.000,0.000,0.000
3,348396.000,8.000,0.000,17.335,0.000,348404,39,348365,0,1.000,0.000,0.000
4,348384.800,19.200,0.000,42.376,0.000,348404,95,348309,0,1.000,0.000,0.000
5,348302.000,102.000,0.000,142.836,0.000,348403,203,348201,1,1.000,0.000,0.000
6,348203.000,201.000,0.000,282.843,0.000,348403,401,348003,1,0.999,0.001,0.000
7,347993.500,410.500,0.000,579.120,0.000,348403,820,347584,1,0.999,0.001,0.000
8,347790.000,614.000,0.000,866.913,0.000,348403,1227,347177,1,0.998,0.002,0.000
9,347696.000,708.000,0.000,999.849,0.000,348403,1415,346989,1,0.998,0.002,0.000
