fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C2,,,,,51.621244,-115.608378,1419.0,,,,,,289.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1492.0,,,,,,289.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1650.0,,,,,,284.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1710.0,,,,,,288.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1716.0,,,,,,323.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1724.0,,,,,,313.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1756.0,,,,,,291.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1784.0,,,,,,281.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1809.0,,,,,,289.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1843.0,,,,,,300.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1854.0,,,,,,305.0,,,0.8,,20,,2
O1a,,,,,51.621244,-115.608378,1869.0,,,,,,286.0,,,0.35,60.0,20,,31
C2,,,,,51.621244,-115.608378,1947.0,,,,,,284.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1991.0,,,,,,292.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2024.0,,,,,,307.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2050.0,,,,,,310.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2130.0,,,,,,327.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2142.0,,,,,,348.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2155.0,,,,,,348.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2146.0,,,,,,347.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2180.0,,,,,,329.0,,,0.8,,20,,2
NF,,,,,51.621244,-115.608378,2253.0,,,,,,297.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2322.0,,,,,,265.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2399.0,,,,,,220.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2368.0,,,,,,127.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2334.0,,,,,,103.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2220.0,,,,,,96.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2181.0,,,,,,99.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2137.0,,,,,,110.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2108.0,,,,,,119.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2077.0,,,,,,113.0,,,0.35,60.0,20,,31
C1,,,,,51.621244,-115.608378,2037.0,,,,,,109.0,,,0.75,,20,,1
