-1.000 -1.000 -1.000 0.000 -1.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.200 0.400 0.400 0.400 0.400 0.600 0.600 0.600 0.600
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.400 0.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.200 0.400 0.400 0.400 0.600 0.600 0.600 0.600 0.600
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.400 0.000 0.000 0.400 0.400 0.400 0.400 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.200 0.400 0.400 0.600 0.600 0.600 0.600 0.600 0.600
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.400 0.000 0.400 0.400 0.400 0.400 0.400 0.400 0.600 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.200 0.400 0.400 0.400 0.600 0.600 0.600 0.600 0.600 0.600
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.400 0.400 0.400 0.400 0.400 0.400 0.400 0.600 0.600 0.600 0.600 0.800 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.400 0.400 0.400 0.600 0.600 0.600 0.600 0.600 0.600 0.600
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.400 0.400 0.400 0.400 0.400 0.400 0.600 0.600 0.600 0.800 0.800 0.800 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.400 0.400 0.400 0.600 0.600 0.600 0.600 0.600 0.600 0.600
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.400 0.400 0.600 0.400 0.400 0.600 0.600 0.600 0.800 0.800 0.800 1.000 1.000 1.000 0.000 0.600 0.000 0.000 0.000 0.000 0.000 0.200 0.400 0.400 0.400 0.600 0.600 0.600 0.600 0.600 0.600 0.600
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.400 0.400 0.600 0.400 0.600 0.600 0.600 0.800 0.800 1.000 1.000 1.000 1.000 0.800 0.600 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.400 0.400 0.400 0.600 0.600 0.600 0.600 0.600 0.600 0.800
0.000 0.000 0.000 0.000 0.000 0.000 0.400 0.400 0.400 0.400 0.600 0.600 0.600 0.600 0.800 0.800 1.000 1.000 1.000 1.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.200 0.400 0.400 0.600 0.600 0.600 0.600 0.600 0.600 0.800 0.800
0.000 0.000 0.000 0.000 0.000 0.400 0.400 0.400 0.400 0.400 0.600 0.600 0.800 0.800 0.800 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.400 0.400 0.600 0.600 0.600 0.600 0.600 0.600 0.800 0.800 0.800
0.000 0.000 0.000 0.000 0.400 0.400 0.400 0.400 0.600 0.600 0.600 0.800 0.800 0.800 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.200 0.400 0.600 0.600 0.600 0.600 0.600 0.800 0.800 0.800 0.600
0.000 0.000 0.000 0.000 0.400 0.400 0.400 0.600 0.600 0.600 0.800 0.800 0.800 1.000 1.000 1.000 1.000 1.000 1.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.600 0.600 0.600 0.600 0.800 0.800 0.800 0.600 0.600
0.000 0.000 0.000 0.000 0.400 0.400 0.600 0.600 0.600 0.800 0.800 0.800 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.600 0.600 0.600 0.800 0.800 0.800 0.600 0.600 0.600
0.000 0.000 0.000 0.400 0.400 0.600 0.600 0.600 0.800 0.800 0.800 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.600 0.600 0.800 0.800 0.800 0.600 0.600 0.600 0.600
0.000 0.000 0.000 0.000 0.400 0.600 0.600 0.800 0.800 0.800 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.600 0.800 0.800 0.800 0.600 0.600 0.600 0.600 0.600
0.000 0.000 0.000 0.400 0.400 0.600 0.600 0.800 0.800 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.800 0.800 0.600 0.600 0.600 0.600 0.600 0.600
