,ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
count,5.000,5.000,5.000,5.000,5.000,5.000,5.000
mean,3.000,973.200,621.800,5.000,0.608,0.389,0.003
std,1.581,281.007,281.007,0.000,0.176,0.176,0.000
min,1.000,698.000,292.000,5.000,0.436,0.182,0.003
25%,2.000,719.000,369.000,5.000,0.449,0.231,0.003
50%,3.000,920.000,675.000,5.000,0.575,0.422,0.003
75%,4.000,1226.000,876.000,5.000,0.766,0.547,0.003
max,5.000,1303.000,897.000,5.000,0.814,0.561,0.003
