fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
NF,,,,,51.621244,-115.608378,2232.0,,,,,56.0,322.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2237.0,,,,,33.0,356.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2222.0,,,,,19.0,347.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2239.0,,,,,40.0,282.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2304.0,,,,,53.0,273.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2351.0,,,,,33.0,285.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2366.0,,,,,24.0,22.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2338.0,,,,,29.0,40.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2331.0,,,,,12.0,34.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2319.0,,,,,20.0,49.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2308.0,,,,,41.0,47.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2256.0,,,,,41.0,36.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2247.0,,,,,33.0,358.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2265.0,,,,,36.0,340.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2282.0,,,,,36.0,359.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2263.0,,,,,37.0,22.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2232.0,,,,,32.0,347.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2264.0,,,,,58.0,301.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2336.0,,,,,43.0,312.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2331.0,,,,,26.0,8.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2327.0,,,,,26.0,19.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2311.0,,,,,24.0,345.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2345.0,,,,,25.0,327.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2345.0,,,,,24.0,330.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2371.0,,,,,32.0,302.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2394.0,,,,,34.0,282.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2440.0,,,,,40.0,273.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2480.0,,,,,43.0,271.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2519.0,,,,,64.0,266.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2610.0,,,,,67.0,257.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2658.0,,,,,50.0,245.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2703.0,,,,,27.0,191.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2664.0,,,,,49.0,135.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2631.0,,,,,50.0,139.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2594.0,,,,,46.0,146.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2566.0,,,,,44.0,161.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2571.0,,,,,42.0,170.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2582.0,,,,,36.0,155.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2559.0,,,,,20.0,177.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2594.0,,,,,11.0,251.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2587.0,,,,,10.0,347.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2584.0,,,,,20.0,350.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2579.0,,,,,23.0,336.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2613.0,,,,,4.0,61.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2579.0,,,,,34.0,121.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2532.0,,,,,41.0,131.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2497.0,,,,,32.0,171.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2516.0,,,,,35.0,198.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2520.0,,,,,31.0,187.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2534.0,,,,,28.0,187.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2528.0,,,,,34.0,199.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2549.0,,,,,47.0,214.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2583.0,,,,,64.0,226.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2647.0,,,,,61.0,225.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2685.0,,,,,23.0,213.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2708.0,,,,,28.0,349.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2717.0,,,,,76.0,12.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2659.0,,,,,107.0,22.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2620.0,,,,,107.0,18.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2591.0,,,,,98.0,27.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2516.0,,,,,85.0,34.0,,,,,20,,101
O1a,,,,,51.621244,-115.608378,2457.0,,,,,69.0,5.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2474.0,,,,,82.0,337.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2528.0,,,,,57.0,346.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2529.0,,,,,31.0,72.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2479.0,,,,,39.0,118.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2451.0,,,,,28.0,187.0,,,,,20,,101
