FType,HFactor,FFactor,BFactor,EFactor
1,1.0,1.0,1.0,1.0
2,0.979,2.615,1.001,1.246
60,1.001,1.0,1.0,1.001
13,1.0,0.175,1.0,1.0
31,1.003,1.005,1.0,1.006
