ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,249,151,0,0.623,0.378,0.000
2,400,0,0,1.000,0.000,0.000
3,322,78,0,0.805,0.195,0.000
4,368,32,0,0.920,0.080,0.000
5,208,192,0,0.520,0.480,0.000
