Hour,AVGNonBurned,AVGBurned,AVGHarvested,STDBurned,STDHarvested,MaxNonBurned,MaxBurned,MinNonBurned,MinBurned,%AVGNonBurned,%AVGBurned,%AVGHarvested
1,399.200,0.800,0.000,0.447,0.000,400,1,399,0,0.998,0.002,0.000
2,396.200,3.800,0.000,3.633,0.000,400,9,391,0,0.990,0.009,0.000
3,392.200,7.800,0.000,7.190,0.000,400,19,381,0,0.980,0.019,0.000
4,385.400,14.600,0.000,15.502,0.000,400,39,361,0,0.963,0.036,0.000
5,368.500,31.500,0.000,23.923,0.000,395,58,342,5,0.921,0.079,0.000
6,355.000,45.000,0.000,32.404,0.000,395,80,320,5,0.887,0.113,0.000
7,337.750,62.250,0.000,45.858,0.000,391,120,280,9,0.844,0.156,0.000
8,315.750,84.250,0.000,58.847,0.000,384,155,245,16,0.789,0.211,0.000
9,286.750,113.250,0.000,71.812,0.000,368,192,208,32,0.717,0.283,0.000
