Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,2001-10-16 13:00,0.0,17.7,20,21,292,90.5,43,259,13.4,60,29.9
JCB,2001-10-16 14:00,0.0,16.9,18,25,292,91.2,43,259,17.9,60,36.3
JCB,2001-10-16 15:00,0.0,16.1,20,27,292,91.8,43,259,21.7,60,41.2
JCB,2001-10-16 16:00,0.0,15.8,20,37,292,92.3,43,259,38.6,60,59.1
JCB,2001-10-16 17:00,0.0,13.9,25,43,292,92.9,43,259,54.6,60,72.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,292,92.3,43,259,53.4,60,71.9
JCB,2001-10-16 19:00,0.0,10.6,41,46,292,91.7,43,259,50.3,60,69.4
JCB,2001-10-16 20:00,0.0,11.3,39,18,292,90.3,43,259,11.0,60,26.2
