Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,09-08-2018 8:00,0,15.9,50,12.3,245,96.3,150.43,859.0,3.91,209.25,20.6
JCB,09-08-2018 9:00,0,20.1,42,9.3,266,96.3,150.43,859.0,3.64,209.25,19.53
JCB,09-08-2018 10:00,0,24.3,39,3.0,235,96.3,150.43,859.0,2.9,209.25,16.52
JCB,09-08-2018 11:00,0,27.7,26,3.2,57,96.3,150.43,859.0,3.47,209.25,18.87
JCB,09-08-2018 12:00,0,29.5,16,7.1,272,96.3,150.43,859.0,5.39,209.25,25.84
JCB,09-08-2018 13:00,0,30.2,14,10.0,263,96.3,155.99,867.44,7.87,215.22,33.48
JCB,09-08-2018 14:00,0,30.2,18,17.3,298,96.3,155.99,867.44,13.41,215.22,47.29
JCB,09-08-2018 15:00,0,30.3,18,20.8,285,96.3,155.99,867.44,18.25,215.22,57.29
