Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,09-08-2018 16:00,0,30.1,17,18.5,279,96.3,155.99,867.44,18.01,215.22,56.84
JCB,09-08-2018 17:00,0,29.4,17,18.9,290,96.3,155.99,867.44,19.77,215.22,60.18
JCB,09-08-2018 18:00,0,28.7,22,12.9,292,96.3,155.99,867.44,14.81,215.22,50.32
JCB,09-08-2018 19:00,0,26.5,29,8.7,290,96.3,155.99,867.44,12.0,215.22,44.06
JCB,09-08-2018 20:00,0,20.6,47,3.2,142,96.3,155.99,867.44,8.52,215.22,35.3
JCB,09-08-2018 21:00,0,14.5,63,5.0,302,96.3,155.99,867.44,8.29,215.22,34.68
JCB,09-08-2018 22:00,0,11.6,73,2.7,272,96.3,155.99,867.44,6.51,215.22,29.49
JCB,09-08-2018 23:00,0,10.1,73,2.0,284,96.3,155.99,867.44,5.64,215.22,26.75
