Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,08-06-2018 16:00,0,22.3,16,14.7,223,94.82,120.48,475.98,14.05,147.57,45.56
JCB,08-06-2018 17:00,0,20.4,20,13.5,249,94.82,120.48,475.98,13.4,147.57,44.2
JCB,08-06-2018 18:00,0,21.4,20,14.7,192,94.82,120.48,475.98,14.45,147.57,46.36
JCB,08-06-2018 19:00,0,21.0,22,6.2,246,94.82,120.48,475.98,9.48,147.57,35.32
JCB,08-06-2018 20:00,0,18.4,28,6.6,149,94.82,120.48,475.98,9.66,147.57,35.75
JCB,08-06-2018 21:00,0,9.0,62,2.5,283,94.82,120.48,475.98,7.17,147.57,29.29
JCB,08-06-2018 22:00,0,5.5,70,2.0,264,94.82,120.48,475.98,6.33,147.57,26.92
JCB,08-06-2018 23:00,0,3.3,79,3.0,276,94.82,120.48,475.98,5.92,147.57,25.68
