Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,08-07-2015 8:00,0,14.1,57,23.9,281,93.11,125.94,448.67,5.28,148.01,23.73
JCB,08-07-2015 9:00,0,18.7,47,14.0,274,93.11,125.94,448.67,3.5,148.01,17.66
JCB,08-07-2015 10:00,0,23.1,28,13.2,294,93.11,125.94,448.67,4.11,148.01,19.84
JCB,08-07-2015 11:00,0,24.9,28,12.4,270,93.11,125.94,448.67,4.76,148.01,22.07
JCB,08-07-2015 12:00,0,24.4,24,11.4,310,93.11,125.94,448.67,5.4,148.01,24.12
JCB,08-07-2015 13:00,0,25.3,22,8.8,288,93.11,130.78,456.93,5.56,152.46,24.85
JCB,08-07-2015 14:00,0,25.8,25,5.4,298,93.11,130.78,456.93,5.24,152.46,23.83
JCB,08-07-2015 15:00,0,27.4,22,14.2,208,93.11,130.78,456.93,9.41,152.46,35.47
