Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,12-08-2014 0:00,0,8.0,95,3.5,240,94.25,167.74,516.49,2.64,185.15,15.12
JCB,12-08-2014 1:00,0,9.1,95,3.1,55,94.25,167.74,516.49,2.28,185.15,13.51
JCB,12-08-2014 2:00,0,9.2,91,3.2,153,94.25,167.74,516.49,2.12,185.15,12.73
JCB,12-08-2014 3:00,0,9.0,91,4.8,192,94.25,167.74,516.49,2.13,185.15,12.79
JCB,12-08-2014 4:00,0,10.3,86,13.3,255,94.25,167.74,516.49,3.13,185.15,17.17
JCB,12-08-2014 5:00,0,10.8,84,6.9,274,94.25,167.74,516.49,2.21,185.15,13.16
JCB,12-08-2014 6:00,0,10.2,85,14.6,283,94.25,167.74,516.49,3.16,185.15,17.29
JCB,12-08-2014 7:00,0,11.6,80,14.8,287,94.25,167.74,516.49,3.18,185.15,17.39
