Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,09-08-2018 0:00,0,6.3,92,4.0,259,96.3,150.43,859.0,3.89,209.25,20.5
JCB,09-08-2018 1:00,0,5.6,91,1.9,191,96.3,150.43,859.0,3.1,209.25,17.36
JCB,09-08-2018 2:00,0,4.5,89,0.0,307,96.3,150.43,859.0,2.6,209.25,15.23
JCB,09-08-2018 3:00,0,4.4,90,3.1,311,96.3,150.43,859.0,2.76,209.25,15.9
JCB,09-08-2018 4:00,0,4.4,83,1.9,283,96.3,150.43,859.0,2.45,209.25,14.55
JCB,09-08-2018 5:00,0,4.8,81,6.4,276,96.3,150.43,859.0,2.92,209.25,16.62
JCB,09-08-2018 6:00,0,5.1,80,7.0,271,96.3,150.43,859.0,2.88,209.25,16.45
JCB,09-08-2018 7:00,0,10.7,68,9.6,230,96.3,150.43,859.0,3.29,209.25,18.14
