Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,31-07-2014 0:00,0,10.0,66,3.5,99,91.5,136.74,433.39,5.87,152.88,25.82
JCB,31-07-2014 1:00,0,13.7,45,22.5,275,91.5,136.74,433.39,14.8,152.88,47.51
JCB,31-07-2014 2:00,0,12.7,46,19.8,277,91.5,136.74,433.39,12.5,152.88,42.67
JCB,31-07-2014 3:00,0,12.4,47,12.9,252,91.5,136.74,433.39,8.58,152.88,33.37
JCB,31-07-2014 4:00,0,9.4,57,5.2,55,91.5,136.74,433.39,5.54,152.88,24.8
JCB,31-07-2014 5:00,0,10.0,55,9.7,279,91.5,136.74,433.39,6.66,152.88,28.14
JCB,31-07-2014 6:00,0,8.5,61,7.8,268,91.5,136.74,433.39,5.73,152.88,25.38
JCB,31-07-2014 7:00,0,12.2,53,6.1,268,91.5,136.74,433.39,5.14,152.88,23.52
