Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,11-09-2017 0:00,0,15.0,34.1,0,0,95.35,56.26,257.81,6.83,72.81,20.56
JCB,11-09-2017 1:00,0,14.5,35.5,0,0,95.35,56.26,257.81,27.48,72.81,52.09
JCB,11-09-2017 2:00,0,13.2,40.2,0,0,95.35,56.26,257.81,19.84,72.81,42.4
JCB,11-09-2017 3:00,0,12.5,40.1,0,0,95.35,56.26,257.81,28.58,72.81,53.38
JCB,11-09-2017 4:00,0,12.3,40.6,0,0,95.35,56.26,257.81,27.23,72.81,51.8
JCB,11-09-2017 5:00,0,14.6,32.5,0,0,95.35,56.26,257.81,12.12,72.81,30.68
JCB,11-09-2017 6:00,0,14.3,33.1,0,0,95.35,56.26,257.81,15.18,72.81,35.62
JCB,11-09-2017 7:00,0,14.8,31.6,0,0,95.35,56.26,257.81,18.98,72.81,41.2
