Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,07-06-2016 0:00,0,14.1,35,15.5,261,93.74,51.08,243.21,13.92,66.98,32.3
JCB,07-06-2016 1:00,0,13.4,37,11.0,267,93.74,51.08,243.21,10.77,66.98,27.15
JCB,07-06-2016 2:00,0,9.5,52,3.0,80,93.74,51.08,243.21,6.8,66.98,19.61
JCB,07-06-2016 3:00,0,9.2,50,8.3,291,93.74,51.08,243.21,8.38,66.98,22.78
JCB,07-06-2016 4:00,0,10.6,45,13.7,265,93.74,51.08,243.21,10.52,66.98,26.72
JCB,07-06-2016 5:00,0,10.9,45,13.2,270,93.74,51.08,243.21,9.87,66.98,25.56
JCB,07-06-2016 6:00,0,10.8,47,12.4,268,93.74,51.08,243.21,9.11,66.98,24.17
JCB,07-06-2016 7:00,0,11.5,48,14.0,265,93.74,51.08,243.21,9.49,66.98,24.87
