Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,13-07-2014 0:00,0,8.1,94,1.7,261,93.59,69.3,293.73,3.16,87.18,12.71
JCB,13-07-2014 1:00,0,7.7,92,2.5,252,93.59,69.3,293.73,2.89,87.18,11.85
JCB,13-07-2014 2:00,0,11.0,78,6.7,313,93.59,69.3,293.73,3.38,87.18,13.41
JCB,13-07-2014 3:00,0,11.1,78,16.2,300,93.59,69.3,293.73,5.15,87.18,18.45
JCB,13-07-2014 4:00,0,10.9,77,15.9,296,93.59,69.3,293.73,4.85,87.18,17.64
JCB,13-07-2014 5:00,0,10.1,78,12.0,321,93.59,69.3,293.73,3.82,87.18,14.73
JCB,13-07-2014 6:00,0,11.0,72,19.0,286,93.59,69.3,293.73,5.34,87.18,18.95
JCB,13-07-2014 7:00,0,11.8,68,14.1,292,93.59,69.3,293.73,4.18,87.18,15.78
