Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,07-07-2017 0:00,0,13.6,65.7,0,0,93.4,43.79,245.3,4.22,60.55,12.93
JCB,07-07-2017 1:00,0,12.6,67.8,0,0,93.4,43.79,245.3,3.56,60.55,11.3
JCB,07-07-2017 2:00,0,11.7,69.3,0,0,93.4,43.79,245.3,3.07,60.55,9.99
JCB,07-07-2017 3:00,0,11.4,68.8,0,0,93.4,43.79,245.3,2.75,60.55,9.1
JCB,07-07-2017 4:00,0,10.8,69.9,0,0,93.4,43.79,245.3,2.43,60.55,8.17
JCB,07-07-2017 5:00,0,10.2,71.7,0,0,93.4,43.79,245.3,3.4,60.55,10.86
JCB,07-07-2017 6:00,0,9.7,76.3,0,0,93.4,43.79,245.3,3.8,60.55,11.91
JCB,07-07-2017 7:00,0,10.6,77.8,0,0,93.4,43.79,245.3,4.01,60.55,12.41
