Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,21-07-2016 16:00,0,22.9,21,23.3,284,93.39,87.58,520.1,20.19,123.27,54.0
JCB,21-07-2016 17:00,0,22.2,22,14.4,279,93.39,87.58,520.1,13.17,123.27,41.23
JCB,21-07-2016 18:00,0,22.7,21,19.2,305,93.39,87.58,520.1,17.23,123.27,48.91
JCB,21-07-2016 19:00,0,21.6,24,13.0,288,93.39,87.58,520.1,12.7,123.27,40.27
JCB,21-07-2016 20:00,0,18.1,33,11.2,295,93.39,87.58,520.1,11.43,123.27,37.62
JCB,21-07-2016 21:00,0,12.5,49,7.5,296,93.39,87.58,520.1,8.9,123.27,31.88
JCB,21-07-2016 22:00,0,10.3,61,4.2,114,93.39,87.58,520.1,6.92,123.27,26.87
JCB,21-07-2016 23:00,0,7.2,78,2.1,184,93.39,87.58,520.1,5.53,123.27,22.99
