Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,07-08-2018 0:00,0,13.4,51,16.0,267,92.94,141.59,843.52,11.29,199.47,42.04
JCB,07-08-2018 1:00,0,12.6,52,16.7,271,92.94,141.59,843.52,11.04,199.47,41.44
JCB,07-08-2018 2:00,0,11.9,55,19.3,265,92.94,141.59,843.52,11.81,199.47,43.27
JCB,07-08-2018 3:00,0,11.5,56,19.8,260,92.94,141.59,843.52,11.41,199.47,42.33
JCB,07-08-2018 4:00,0,11.2,59,17.4,262,92.94,141.59,843.52,9.52,199.47,37.63
JCB,07-08-2018 5:00,0,10.7,61,17.8,262,92.94,141.59,843.52,9.14,199.47,36.65
JCB,07-08-2018 6:00,0,10.7,62,13.1,267,92.94,141.59,843.52,6.84,199.47,30.23
JCB,07-08-2018 7:00,0,12.7,56,19.0,259,92.94,141.59,843.52,8.95,199.47,36.15
