Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,19-06-2018 8:00,0,14.3,55,14.3,256,91.9,143.35,533.85,3.81,171.54,19.53
JCB,19-06-2018 9:00,0,18.5,44,5.0,52,91.9,143.35,533.85,2.55,171.54,14.48
JCB,19-06-2018 10:00,0,20.0,37,6.0,8,91.9,143.35,533.85,2.96,171.54,16.21
JCB,19-06-2018 11:00,0,20.8,31,9.5,109,91.9,143.35,533.85,4.0,171.54,20.25
JCB,19-06-2018 12:00,0,21.6,26,9.6,132,91.9,143.35,533.85,4.62,171.54,22.46
JCB,19-06-2018 13:00,0,22.3,28,13.6,77,91.9,147.78,541.27,6.38,175.66,28.25
JCB,19-06-2018 14:00,0,23.0,30,11.7,92,91.9,147.78,541.27,6.37,175.66,28.2
JCB,19-06-2018 15:00,0,23.2,31,11.9,67,91.9,147.78,541.27,6.93,175.66,29.87
