Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,24-07-2016 8:00,0,14.9,53,14.9,270,93.11,94.96,535.25,5.85,131.57,24.54
JCB,24-07-2016 9:00,0,18.7,45,12.8,299,93.11,94.96,535.25,5.42,131.57,23.23
JCB,24-07-2016 10:00,0,21.3,34,6.3,331,93.11,94.96,535.25,4.2,131.57,19.37
JCB,24-07-2016 11:00,0,22.7,28,9.2,318,93.11,94.96,535.25,5.41,131.57,23.21
JCB,24-07-2016 12:00,0,24.5,24,8.0,354,93.11,94.96,535.25,5.75,131.57,24.23
JCB,24-07-2016 13:00,0,25.6,25,14.9,221,93.11,99.66,543.56,9.13,136.68,33.65
JCB,24-07-2016 14:00,0,26.2,25,19.4,275,93.11,99.66,543.56,12.68,136.68,41.7
JCB,24-07-2016 15:00,0,25.2,23,20.8,239,93.11,99.66,543.56,14.86,136.68,46.13
