Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,31-07-2014 16:00,0,24.2,50,12.9,120,91.5,140.17,441.6,7.66,156.31,31.13
JCB,31-07-2014 17:00,0,24.1,51,12.0,110,91.5,140.17,441.6,7.35,156.31,30.28
JCB,31-07-2014 18:00,0,22.1,58,12.9,85,91.5,140.17,441.6,7.46,156.31,30.57
JCB,31-07-2014 19:00,0,21.4,64,14.9,93,91.5,140.17,441.6,7.8,156.31,31.51
JCB,31-07-2014 20:00,0,19.4,72,6.7,85,91.5,140.17,441.6,4.79,156.31,22.5
JCB,31-07-2014 21:00,0,16.9,79,2.5,32,91.5,140.17,441.6,3.55,156.31,18.14
JCB,31-07-2014 22:00,0,15.8,85,2.0,115,91.5,140.17,441.6,3.12,156.31,16.47
JCB,31-07-2014 23:00,0,16.2,86,2.5,153,91.5,140.17,441.6,2.9,156.31,15.57
