Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,11-09-2017 16:00,0,24.1,12.8,0,0,95.35,60.15,263.89,55.68,76.63,81.66
JCB,11-09-2017 17:00,0,23.3,13.9,0,0,95.35,60.15,263.89,37.53,76.63,64.55
JCB,11-09-2017 18:00,0,22.3,15.7,0,0,95.35,60.15,263.89,27.89,76.63,53.81
JCB,11-09-2017 19:00,0,21.5,15.9,0,0,95.35,60.15,263.89,32.49,76.63,59.13
JCB,11-09-2017 20:00,0,20.8,18.5,0,0,95.35,60.15,263.89,20.74,76.63,44.69
JCB,11-09-2017 21:00,0,21.4,16.0,0,0,95.35,60.15,263.89,15.53,76.63,37.07
JCB,11-09-2017 22:00,0,20.8,16.7,0,0,95.35,60.15,263.89,9.88,76.63,27.4
JCB,11-09-2017 23:00,0,20.2,19.9,0,0,95.35,60.15,263.89,9.46,76.63,26.57
