Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,03-07-2014 16:00,0,27.0,19,21.0,225,92.48,36.71,224.0,17.28,52.09,33.05
JCB,03-07-2014 17:00,0,24.6,22,17.7,238,92.48,36.71,224.0,15.26,52.09,30.41
JCB,03-07-2014 18:00,0,21.7,32,27.0,249,92.48,36.71,224.0,24.44,52.09,41.46
JCB,03-07-2014 19:00,0,21.4,34,11.9,211,92.48,36.71,224.0,11.36,52.09,24.84
JCB,03-07-2014 20:00,0,19.5,43,8.7,283,92.48,36.71,224.0,9.32,52.09,21.59
JCB,03-07-2014 21:00,0,18.4,40,21.4,258,92.48,36.71,224.0,17.11,52.09,32.84
JCB,03-07-2014 22:00,0,16.7,44,9.2,257,92.48,36.71,224.0,8.92,52.09,20.93
JCB,03-07-2014 23:00,0,13.5,55,6.2,306,92.48,36.71,224.0,7.18,52.09,17.87
