Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,19-06-2018 0:00,0,4.8,92,1.6,232,91.9,143.35,533.85,3.08,171.54,16.7
JCB,19-06-2018 1:00,0,2.8,92,0.0,219,91.9,143.35,533.85,2.6,171.54,14.68
JCB,19-06-2018 2:00,0,3.0,95,2.6,64,91.9,143.35,533.85,2.61,171.54,14.74
JCB,19-06-2018 3:00,0,2.6,92,1.9,199,91.9,143.35,533.85,2.31,171.54,13.38
JCB,19-06-2018 4:00,0,3.2,90,2.4,61,91.9,143.35,533.85,2.2,171.54,12.88
JCB,19-06-2018 5:00,0,4.9,86,11.8,250,91.9,143.35,533.85,3.31,171.54,17.62
JCB,19-06-2018 6:00,0,7.1,78,13.9,253,91.9,143.35,533.85,3.59,171.54,18.7
JCB,19-06-2018 7:00,0,10.4,66,13.8,255,91.9,143.35,533.85,3.59,171.54,18.72
