Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,07-06-2016 16:00,0,24.4,36,19.4,84,93.74,56.07,251.1,16.1,71.97,36.82
JCB,07-06-2016 17:00,0,24.2,34,13.3,74,93.74,56.07,251.1,11.92,71.97,30.16
JCB,07-06-2016 18:00,0,25.4,31,13.2,88,93.74,56.07,251.1,11.95,71.97,30.2
JCB,07-06-2016 19:00,0,24.6,34,16.1,73,93.74,56.07,251.1,13.92,71.97,33.46
JCB,07-06-2016 20:00,0,21.0,48,15.0,41,93.74,56.07,251.1,12.41,71.97,30.98
JCB,07-06-2016 21:00,0,18.1,57,11.2,27,93.74,56.07,251.1,9.4,71.97,25.64
JCB,07-06-2016 22:00,0,14.4,70,3.4,214,93.74,56.07,251.1,5.72,71.97,17.97
JCB,07-06-2016 23:00,0,11.6,81,4.1,272,93.74,56.07,251.1,5.17,71.97,16.66
