Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,27-06-2015 0:00,0,13.01,61.37,4.63,0,92.64,90.23,367.01,4.32,111.77,18.44
JCB,27-06-2015 1:00,0,12.19,55.56,3.02,0,92.64,90.23,367.01,3.93,111.77,17.17
JCB,27-06-2015 2:00,0,11.13,52.17,3.24,0,92.64,90.23,367.01,3.94,111.77,17.2
JCB,27-06-2015 3:00,0,10.42,54.18,4.39,0,92.64,90.23,367.01,4.12,111.77,17.78
JCB,27-06-2015 4:00,0,9.89,58.18,3.47,0,92.64,90.23,367.01,3.85,111.77,16.91
JCB,27-06-2015 5:00,0,9.66,60.96,0.82,0,92.64,90.23,367.01,3.29,111.77,15.03
JCB,27-06-2015 6:00,0,10.91,57.64,3.37,0,92.64,90.23,367.01,3.69,111.77,16.38
JCB,27-06-2015 7:00,0,13.0,47.96,4.11,0,92.64,90.23,367.01,3.86,111.77,16.94
