Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,12-07-2015 8:00,0,15.5,71,3.5,68,91.79,143.52,481.57,0.95,164.49,6.18
JCB,12-07-2015 9:00,0,18.7,56,11.5,265,91.79,143.52,481.57,1.54,164.49,9.55
JCB,12-07-2015 10:00,0,20.4,50,12.1,253,91.79,143.52,481.57,1.78,164.49,10.76
JCB,12-07-2015 11:00,0,21.5,44,10.2,275,91.79,143.52,481.57,1.86,164.49,11.15
JCB,12-07-2015 12:00,0,22.6,40,9.8,285,91.79,143.52,481.57,2.14,164.49,12.48
JCB,12-07-2015 13:00,0,23.7,33,11.0,271,91.79,147.42,489.54,2.77,168.21,15.35
JCB,12-07-2015 14:00,0,21.6,51,12.2,91,91.79,147.42,489.54,3.22,168.21,17.17
JCB,12-07-2015 15:00,0,20.5,50,9.7,18,91.79,147.42,489.54,3.05,168.21,16.51
