Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,31-07-2014 8:00,0,16.9,47,4.4,275,91.5,136.74,433.39,4.73,152.88,22.19
JCB,31-07-2014 9:00,0,22.1,50,7.2,265,91.5,136.74,433.39,5.49,152.88,24.63
JCB,31-07-2014 10:00,0,24.0,49,6.3,111,91.5,136.74,433.39,5.28,152.88,23.98
JCB,31-07-2014 11:00,0,24.5,44,9.3,137,91.5,136.74,433.39,6.19,152.88,26.77
JCB,31-07-2014 12:00,0,25.3,47,14.1,104,91.5,136.74,433.39,7.94,152.88,31.7
JCB,31-07-2014 13:00,0,25.0,44,17.3,104,91.5,140.17,441.6,9.4,156.31,35.65
JCB,31-07-2014 14:00,0,24.7,50,18.8,92,91.5,140.17,441.6,10.2,156.31,37.64
JCB,31-07-2014 15:00,0,24.5,52,17.8,95,91.5,140.17,441.6,9.74,156.31,36.5
