Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,08-07-2015 0:00,0,11.2,72,5.7,276,93.11,125.94,448.67,2.02,148.01,11.55
JCB,08-07-2015 1:00,0,10.3,73,10.6,324,93.11,125.94,448.67,2.6,148.01,14.1
JCB,08-07-2015 2:00,0,9.1,78,13.2,309,93.11,125.94,448.67,2.97,148.01,15.58
JCB,08-07-2015 3:00,0,7.9,80,10.1,291,93.11,125.94,448.67,2.51,148.01,13.72
JCB,08-07-2015 4:00,0,7.2,80,8.1,293,93.11,125.94,448.67,2.25,148.01,12.59
JCB,08-07-2015 5:00,0,6.9,79,6.4,357,93.11,125.94,448.67,2.06,148.01,11.71
JCB,08-07-2015 6:00,0,8.2,75,6.6,309,93.11,125.94,448.67,2.09,148.01,11.86
JCB,08-07-2015 7:00,0,10.2,70,14.5,285,93.11,125.94,448.67,3.13,148.01,16.24
