Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,26-07-2016 8:00,0.0,15.7,56,14.9,280,90.76,102.57,551.19,2.96,140.0,15.28
JCB,26-07-2016 9:00,0.0,19.6,45,9.6,271,90.76,102.57,551.19,2.52,140.0,13.49
JCB,26-07-2016 10:00,0.0,22.5,33,9.3,69,90.76,102.57,551.19,2.94,140.0,15.18
JCB,26-07-2016 11:00,0.0,22.2,35,6.4,47,90.76,102.57,551.19,2.89,140.0,14.99
JCB,26-07-2016 12:00,0.0,22.2,41,10.4,65,90.76,102.57,551.19,3.9,140.0,18.75
JCB,26-07-2016 13:00,0.0,21.7,39,11.6,105,90.76,105.83,558.8,4.53,143.65,21.11
JCB,26-07-2016 14:00,0.0,23.6,40,11.5,94,90.76,105.83,558.8,4.91,143.65,22.35
JCB,26-07-2016 15:00,0.0,21.0,47,13.5,61,90.76,105.83,558.8,5.6,143.65,24.52
