Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,26-05-2018 8:00,0,10.5,51,9.3,46,92.48,153.96,406.28,5.63,158.12,25.29
JCB,26-05-2018 9:00,0,11.4,46,8.7,137,92.48,153.96,406.28,5.46,158.12,24.77
JCB,26-05-2018 10:00,0,14.3,41,7.3,209,92.48,153.96,406.28,5.13,158.12,23.7
JCB,26-05-2018 11:00,0,16.8,38,8.6,138,92.48,153.96,406.28,5.54,158.12,25.02
JCB,26-05-2018 12:00,0,18.2,36,13.8,63,92.48,153.96,406.28,7.38,158.12,30.44
JCB,26-05-2018 13:00,0,19.9,33,16.0,90,92.48,157.66,412.27,8.6,161.2,33.88
JCB,26-05-2018 14:00,0,17.9,36,18.1,88,92.48,157.66,412.27,9.69,161.2,36.66
JCB,26-05-2018 15:00,0,20.3,30,10.7,57,92.48,157.66,412.27,6.99,161.2,29.5
