Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,27-07-2017 16:00,0,26.7,24.6,0,0,95.79,123.79,406.93,11.67,140.63,39.87
JCB,27-07-2017 17:00,0,26.4,25.8,0,0,95.79,123.79,406.93,12.35,140.63,41.36
JCB,27-07-2017 18:00,0,25.2,27.5,0,0,95.79,123.79,406.93,20.44,140.63,56.79
JCB,27-07-2017 19:00,0,23.9,31.6,0,0,95.79,123.79,406.93,30.8,140.63,72.79
JCB,27-07-2017 20:00,0,22.5,32.0,0,0,95.79,123.79,406.93,21.07,140.63,57.87
JCB,27-07-2017 21:00,0,22.8,33.9,0,0,95.79,123.79,406.93,16.05,140.63,48.86
JCB,27-07-2017 22:00,0,20.7,38.9,0,0,95.79,123.79,406.93,11.42,140.63,39.32
JCB,27-07-2017 23:00,0,18.8,39.1,0,0,95.79,123.79,406.93,10.01,140.63,36.09
