Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,17-07-2018 16:00,0,24.9,34,12.4,101,94.14,237.13,738.96,10.27,263.15,40.39
JCB,17-07-2018 17:00,0,24.2,39,13.8,85,94.14,237.13,738.96,11.05,263.15,42.34
JCB,17-07-2018 18:00,0,24.0,37,10.0,83,94.14,237.13,738.96,9.19,263.15,37.58
JCB,17-07-2018 19:00,0,23.5,42,5.2,75,94.14,237.13,738.96,7.15,263.15,31.83
JCB,17-07-2018 20:00,0,22.4,46,9.8,94,94.14,237.13,738.96,8.77,263.15,36.44
JCB,17-07-2018 21:00,0,16.3,70,5.3,283,94.14,237.13,738.96,6.24,263.15,29.05
JCB,17-07-2018 22:00,0,13.1,78,0.0,315,94.14,237.13,738.96,4.36,263.15,22.66
JCB,17-07-2018 23:00,0,11.2,85,0.0,311,94.14,237.13,738.96,3.92,263.15,20.98
