Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,27-07-2017 0:00,0,13.2,45.3,0,0,95.79,118.04,398.11,4.64,135.58,21.05
JCB,27-07-2017 1:00,0,12.3,46.3,0,0,95.79,118.04,398.11,4.28,135.58,19.84
JCB,27-07-2017 2:00,0,11.9,47.9,0,0,95.79,118.04,398.11,4.0,135.58,18.88
JCB,27-07-2017 3:00,0,11.9,50.6,0,0,95.79,118.04,398.11,4.78,135.58,21.48
JCB,27-07-2017 4:00,0,10.9,54.0,0,0,95.79,118.04,398.11,4.57,135.58,20.82
JCB,27-07-2017 5:00,0,11.4,51.8,0,0,95.79,118.04,398.11,4.72,135.58,21.31
JCB,27-07-2017 6:00,0,11.7,53.8,0,0,95.79,118.04,398.11,5.51,135.58,23.78
JCB,27-07-2017 7:00,0,12.2,62.3,0,0,95.79,118.04,398.11,6.26,135.58,25.99
