Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,08-06-2018 8:00,0,8.8,62,3.3,25,94.82,115.45,468.64,4.68,142.89,21.57
JCB,08-06-2018 9:00,0,18.3,31,8.4,122,94.82,115.45,468.64,6.24,142.89,26.37
JCB,08-06-2018 10:00,0,19.4,29,5.4,335,94.82,115.45,468.64,5.56,142.89,24.35
JCB,08-06-2018 11:00,0,20.7,22,19.6,226,94.82,115.45,468.64,12.37,142.89,41.62
JCB,08-06-2018 12:00,0,21.6,20,18.6,222,94.82,115.45,468.64,12.84,142.89,42.6
JCB,08-06-2018 13:00,0,21.9,17,16.7,187,94.82,120.48,475.98,12.78,147.57,42.87
JCB,08-06-2018 14:00,0,22.4,19,8.9,203,94.82,120.48,475.98,9.14,147.57,34.49
JCB,08-06-2018 15:00,0,22.3,15,17.8,238,94.82,120.48,475.98,15.52,147.57,48.51
