Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,07-07-2017 8:00,0,14.8,67.9,0,0,93.4,43.79,245.3,3.65,60.55,11.51
JCB,07-07-2017 9:00,0,19.2,51.0,0,0,93.4,43.79,245.3,2.73,60.55,9.06
JCB,07-07-2017 10:00,0,25.0,38.3,0,0,93.4,43.79,245.3,3.4,60.55,10.86
JCB,07-07-2017 11:00,0,28.2,18.4,0,0,93.4,43.79,245.3,5.04,60.55,14.85
JCB,07-07-2017 12:00,0,31.1,12.4,0,0,93.4,43.79,245.3,7.65,60.55,20.26
JCB,07-07-2017 13:00,0,32.0,13.5,0,0,93.4,48.91,254.04,7.17,66.04,20.24
JCB,07-07-2017 14:00,0,29.8,18.2,0,0,93.4,48.91,254.04,14.02,66.04,32.24
JCB,07-07-2017 15:00,0,29.9,20.3,0,0,93.4,48.91,254.04,10.02,66.04,25.65
