Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,07-06-2016 8:00,0,13.6,49,9.4,241,93.74,51.08,243.21,7.28,66.98,20.62
JCB,07-06-2016 9:00,0,19.1,37,8.8,256,93.74,51.08,243.21,7.12,66.98,20.28
JCB,07-06-2016 10:00,0,21.8,27,3.4,38,93.74,51.08,243.21,5.63,66.98,17.08
JCB,07-06-2016 11:00,0,24.1,22,7.2,90,93.74,51.08,243.21,7.34,66.98,20.74
JCB,07-06-2016 12:00,0,25.0,20,10.2,72,93.74,51.08,243.21,9.28,66.98,24.48
JCB,07-06-2016 13:00,0,24.9,27,11.4,97,93.74,56.07,251.1,10.12,71.97,26.97
JCB,07-06-2016 14:00,0,26.8,23,9.0,339,93.74,56.07,251.1,9.46,71.97,25.74
JCB,07-06-2016 15:00,0,26.5,30,17.7,94,93.74,56.07,251.1,14.77,71.97,34.79
