Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,07-06-2018 8:00,0,13.0,39,11.5,250,94.77,110.15,461.16,6.2,137.93,25.96
JCB,07-06-2018 9:00,0,17.6,31,3.9,210,94.77,110.15,461.16,4.4,137.93,20.38
JCB,07-06-2018 10:00,0,19.8,23,6.8,208,94.77,110.15,461.16,5.54,137.93,24.0
JCB,07-06-2018 11:00,0,21.3,21,8.8,98,94.77,110.15,461.16,6.73,137.93,27.48
JCB,07-06-2018 12:00,0,22.0,13,8.4,174,94.77,110.15,461.16,7.53,137.93,29.66
JCB,07-06-2018 13:00,0,22.6,15,12.5,183,94.77,115.45,468.64,10.32,142.89,36.98
JCB,07-06-2018 14:00,0,22.1,17,11.1,329,94.77,115.45,468.64,10.33,142.89,37.0
JCB,07-06-2018 15:00,0,22.7,14,12.3,172,94.77,115.45,468.64,11.92,142.89,40.63
