Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,19-07-2014 16:00,0.0,20.8,34,23.7,288,91.11,98.91,351.3,14.01,116.1,41.93
JCB,19-07-2014 17:00,0.0,18.8,39,23.7,239,91.11,98.91,351.3,14.11,116.1,42.12
JCB,19-07-2014 18:00,0.0,18.3,45,17.2,259,91.11,98.91,351.3,10.14,116.1,33.95
JCB,19-07-2014 19:00,0.0,17.4,46,17.1,268,91.11,98.91,351.3,10.0,116.1,33.65
JCB,19-07-2014 20:00,0.0,15.0,60,14.4,299,91.11,98.91,351.3,8.23,116.1,29.51
JCB,19-07-2014 21:00,0.51,12.9,69,17.8,247,91.11,98.91,351.3,2.26,116.1,11.4
JCB,19-07-2014 22:00,1.52,10.8,82,12.5,279,91.11,98.91,351.3,0.42,116.1,1.93
JCB,19-07-2014 23:00,0.51,10.4,87,17.1,269,91.11,98.91,351.3,0.29,116.1,0.89
