Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,09-07-2015 16:00,0,26.36,27.73,16.7,0,93.96,135.95,465.53,14.7,157.16,47.63
JCB,09-07-2015 17:00,0,25.51,30.21,16.87,0,93.96,135.95,465.53,14.93,157.16,48.1
JCB,09-07-2015 18:00,0,24.35,32.27,13.53,0,93.96,135.95,465.53,12.71,157.16,43.43
JCB,09-07-2015 19:00,0,23.06,36.23,7.81,0,93.96,135.95,465.53,9.43,157.16,35.79
JCB,09-07-2015 20:00,0,20.93,43.19,4.72,0,93.96,135.95,465.53,7.81,157.16,31.57
JCB,09-07-2015 21:00,0,19.06,47.63,0.62,0,93.96,135.95,465.53,6.13,157.16,26.79
JCB,09-07-2015 22:00,0,17.13,49.99,0.69,0,93.96,135.95,465.53,5.91,157.16,26.12
JCB,09-07-2015 23:00,0,15.67,45.43,0.15,0,93.96,135.95,465.53,5.62,157.16,25.22
