fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C1,,,,,51.621244,-115.608378,2272.0,,,,,70.0,85.0,,,0.75,,20,,1
NF,,,,,51.621244,-115.608378,2180.0,,,,,57.0,74.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2140.0,,,,,39.0,55.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2116.0,,,,,41.0,48.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2096.0,,,,,57.0,56.0,,,,,20,,101
C1,,,,,51.621244,-115.608378,2026.0,,,,,69.0,56.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1952.0,,,,,59.0,43.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1927.0,,,,,53.0,32.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1898.0,,,,,47.0,11.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1908.0,,,,,45.0,343.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1929.0,,,,,35.0,346.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1933.0,,,,,26.0,10.0,,,0.75,,20,,1
NF,,,,,51.621244,-115.608378,1912.0,,,,,30.0,42.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,1885.0,,,,,29.0,37.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,1883.0,,,,,38.0,353.0,,,,,20,,101
C2,,,,,51.621244,-115.608378,1895.0,,,,,69.0,343.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1921.0,,,,,83.0,2.0,,,0.75,,20,,1
NF,,,,,51.621244,-115.608378,1886.0,,,,,78.0,28.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,1856.0,,,,,46.0,16.0,,,,,20,,101
C1,,,,,51.621244,-115.608378,1872.0,,,,,43.0,325.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1904.0,,,,,48.0,327.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1921.0,,,,,90.0,297.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2065.0,,,,,109.0,285.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2129.0,,,,,75.0,289.0,,,0.75,,20,,1
NF,,,,,51.621244,-115.608378,2211.0,,,,,81.0,299.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2298.0,,,,,55.0,326.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2289.0,,,,,29.0,3.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2284.0,,,,,24.0,276.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2332.0,,,,,27.0,215.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2303.0,,,,,34.0,160.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2294.0,,,,,35.0,155.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2278.0,,,,,34.0,151.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2263.0,,,,,34.0,136.0,,,,,20,,101
C1,,,,,51.621244,-115.608378,2226.0,,,,,29.0,118.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2204.0,,,,,23.0,111.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2178.0,,,,,25.0,124.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2155.0,,,,,25.0,167.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2163.0,,,,,33.0,201.0,,,0.75,,20,,1
NF,,,,,51.621244,-115.608378,2181.0,,,,,41.0,215.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2218.0,,,,,24.0,188.0,,,,,20,,101
C1,,,,,51.621244,-115.608378,2195.0,,,,,25.0,96.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2164.0,,,,,25.0,72.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2143.0,,,,,39.0,84.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2085.0,,,,,41.0,91.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2062.0,,,,,27.0,97.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2032.0,,,,,28.0,99.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2000.0,,,,,33.0,109.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1969.0,,,,,32.0,126.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1948.0,,,,,27.0,160.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1959.0,,,,,34.0,145.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1911.0,,,,,34.0,138.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1902.0,,,,,29.0,175.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1911.0,,,,,38.0,184.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1911.0,,,,,51.0,189.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1933.0,,,,,63.0,198.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1945.0,,,,,59.0,198.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1965.0,,,,,50.0,190.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1971.0,,,,,51.0,182.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1969.0,,,,,58.0,175.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1959.0,,,,,63.0,169.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1943.0,,,,,57.0,157.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1916.0,,,,,49.0,141.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1881.0,,,,,44.0,143.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1861.0,,,,,54.0,155.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1823.0,,,,,71.0,179.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1849.0,,,,,81.0,191.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1861.0,,,,,71.0,179.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1850.0,,,,,65.0,161.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1821.0,,,,,59.0,157.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1807.0,,,,,51.0,168.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1817.0,,,,,51.0,157.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1460.0,,,,,25.0,327.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1474.0,,,,,32.0,320.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1502.0,,,,,33.0,331.0,,,0.8,,20,,2
