FType,HFactor,FFactor,BFactor,EFactor
1,1.163,0.832,1.061,2.357
2,1.228,1.182,0.836,1.145
5,1.212,1.478,0.816,2.791
13,1.126,1.142,1.117,0.826
60,1.049,0.936,0.961,0.983
31,1.111,0.976,0.997,1.119
