FType,HFactor,FFactor,BFactor,EFactor
1,0.89,1.097,0.974,1.241
2,1.875,1.039,1.163,0.943
5,0.989,1.161,1.075,0.997
13,1.013,1.096,1.005,0.955
60,0.978,0.957,0.942,0.969
31,1.897,0.974,1.013,1.002
