Hour,AVGNonBurned,AVGBurned,AVGHarvested,STDBurned,STDHarvested,MaxNonBurned,MaxBurned,MinNonBurned,MinBurned,%AVGNonBurned,%AVGBurned,%AVGHarvested
1,8,1,0,,,8,1,8,1,0.889,0.111,0.000
2,5,4,0,,,5,4,5,4,0.556,0.444,0.000
3,1,8,0,,,1,8,1,8,0.111,0.889,0.000
4,0,9,0,,,0,9,0,9,0.000,1.000,0.000
5,2,7,0,,,2,7,2,7,0.222,0.778,0.000
6,0,9,0,,,0,9,0,9,0.000,1.000,0.000
