FType,HFactor,FFactor,BFactor,EFactor
1,3.446,1.424,1.003,2.183
2,1.198,0.939,1.228,1.262
5,1.006,1.033,1.0,1.806
13,1.004,1.008,1.0,1.009
60,1.0,1.011,1.0,1.011
31,1.01,1.082,1.0,1.077
