FType,HFactor,FFactor,BFactor,EFactor
1,1.711,0.99,1.03,1.325
2,1.004,1.292,1.015,1.165
3,0.981,1.133,1.0,1.148
4,1.003,1.114,1.015,0.996
5,1.162,1.721,0.947,2.342
13,1.073,1.037,1.042,1.015
60,1.077,1.06,1.026,1.009
31,0.983,1.028,0.994,0.998
