Hour,AVGNonBurned,AVGBurned,AVGHarvested,STDBurned,STDHarvested,MaxNonBurned,MaxBurned,MinNonBurned,MinBurned,%AVGNonBurned,%AVGBurned,%AVGHarvested
1,15,1,0,,,15,1,15,1,0.938,0.062,0.000
2,13,3,0,,,13,3,13,3,0.812,0.188,0.000
3,10,6,0,,,10,6,10,6,0.625,0.375,0.000
4,4,5,0,,,4,5,4,5,0.444,0.556,0.000
5,1,8,0,,,1,8,1,8,0.111,0.889,0.000
6,0,9,0,,,0,9,0,9,0.000,1.000,0.000
