FType,HFactor,FFactor,BFactor,EFactor
1,2.768,1.834,0.002,1.474
2,1.437,0.916,1.229,1.426
5,0.867,2.665,1.0,1.509
13,0.69,1.025,1.0,1.208
60,1.014,1.08,0.849,1.078
31,1.053,1.19,0.949,0.9
