fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C2,,,,,51.621244,-115.608378,1703.0,,,,,43.0,93.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1638.0,,,,,52.0,94.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1597.0,,,,,40.0,99.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1555.0,,,,,52.0,105.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1483.0,,,,,54.0,108.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1449.0,,,,,34.0,101.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1422.0,,,,,9.0,30.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1442.0,,,,,34.0,307.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1480.0,,,,,38.0,316.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1492.0,,,,,33.0,326.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1517.0,,,,,45.0,312.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1567.0,,,,,52.0,313.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1591.0,,,,,46.0,316.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1625.0,,,,,34.0,316.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1643.0,,,,,18.0,348.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1637.0,,,,,18.0,52.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1612.0,,,,,23.0,80.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1585.0,,,,,35.0,99.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1535.0,,,,,42.0,107.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1505.0,,,,,35.0,108.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1473.0,,,,,30.0,105.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1450.0,,,,,42.0,100.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1392.0,,,,,42.0,100.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1366.0,,,,,29.0,110.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1339.0,,,,,42.0,109.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1277.0,,,,,50.0,105.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1245.0,,,,,37.0,89.0,,,0.75,,20,,1
C5,,,,,51.621244,-115.608378,1213.0,,,,,35.0,67.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1177.0,,,,,63.0,74.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1088.0,,,,,69.0,75.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1038.0,,,,,48.0,67.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,999.0,,,,,35.0,58.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,987.0,,,,,14.0,306.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1023.0,,,,,38.0,260.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1057.0,,,,,38.0,246.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1092.0,,,,,67.0,254.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1180.0,,,,,78.0,254.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1239.0,,,,,59.0,248.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1290.0,,,,,80.0,258.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1410.0,,,,,88.0,261.0,,,1.2,,20,,5
C2,,,,,51.621244,-115.608378,1468.0,,,,,65.0,245.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1517.0,,,,,69.0,228.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1589.0,,,,,83.0,226.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1654.0,,,,,81.0,216.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1681.0,,,,,72.0,201.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1698.0,,,,,70.0,201.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1741.0,,,,,67.0,198.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1736.0,,,,,58.0,208.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1778.0,,,,,55.0,232.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1825.0,,,,,50.0,232.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1859.0,,,,,50.0,227.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1901.0,,,,,52.0,230.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1937.0,,,,,61.0,238.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2013.0,,,,,61.0,232.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,2038.0,,,,,56.0,205.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2049.0,,,,,64.0,192.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2061.0,,,,,67.0,206.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2115.0,,,,,45.0,216.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2122.0,,,,,27.0,109.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2064.0,,,,,94.0,94.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1914.0,,,,,111.0,101.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1840.0,,,,,84.0,102.0,,,0.75,,20,,1
O1a,,,,,51.621244,-115.608378,1765.0,,,,,69.0,95.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,1702.0,,,,,89.0,88.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,1581.0,,,,,77.0,79.0,,,0.35,60.0,20,,31
C1,,,,,51.621244,-115.608378,1537.0,,,,,11.0,308.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1548.0,,,,,7.0,339.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1544.0,,,,,6.0,67.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1534.0,,,,,3.0,115.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1538.0,,,,,4.0,162.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1529.0,,,,,7.0,152.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1525.0,,,,,5.0,188.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1530.0,,,,,3.0,263.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1534.0,,,,,10.0,294.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1550.0,,,,,12.0,301.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1557.0,,,,,7.0,322.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1561.0,,,,,3.0,323.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1563.0,,,,,0.0,-1.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1560.0,,,,,2.0,106.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1557.0,,,,,3.0,113.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1552.0,,,,,3.0,143.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1553.0,,,,,4.0,181.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1554.0,,,,,5.0,206.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1557.0,,,,,7.0,256.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1567.0,,,,,11.0,279.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1579.0,,,,,10.0,282.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1588.0,,,,,9.0,273.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1600.0,,,,,20.0,271.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1627.0,,,,,23.0,276.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1643.0,,,,,20.0,287.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1667.0,,,,,37.0,284.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1717.0,,,,,37.0,284.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1742.0,,,,,23.0,285.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1763.0,,,,,21.0,281.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1782.0,,,,,39.0,279.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1837.0,,,,,43.0,286.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1865.0,,,,,29.0,301.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1888.0,,,,,31.0,298.0,,,0.8,,20,,2
